# This is part of the Z-Move plugin for Essentials v18.dev.
# 
# This file is NOT officially an Essentials PBS file.
# If you want to add a new Z-move, check the README provided with this plugin.
# zcrystal,type,specificmove,specificfspecies,zmoveid
#-------------------------------
# Specific Z-Compatibility
#-------------------------------
PIKANIUMZ,,VOLTTACKLE,PIKACHU,CATASTROPIKA
KOMMONIUMZ,,CLANGINGSCALES,KOMMOO,CLANGOROUSSOULBLAZE
LYCANIUMZ,,STONEEDGE,LYCANROC,SPLINTEREDSTORMSHARDS
LYCANIUMZ,,STONEEDGE,LYCANROC_1,SPLINTEREDSTORMSHARDS
LYCANIUMZ,,STONEEDGE,LYCANROC_2,SPLINTEREDSTORMSHARDS
MIMIKIUMZ,,PLAYROUGH,MIMIKYU,LETSSNUGGLEFOREVER
MIMIKIUMZ,,PLAYROUGH,MIMIKYU_1,LETSSNUGGLEFOREVER
SOLGANIUMZ,,SUNSTEELSTRIKE,SOLGALEO,SEARINGSUNRAZESMASH
SOLGANIUMZ,,SUNSTEELSTRIKE,NECROZMA_1,SEARINGSUNRAZESMASH
LUNALIUMZ,,MOONGEISTBEAM,LUNALA,MENACINGMOONRAZEMAELSTROM
LUNALIUMZ,,MOONGEISTBEAM,NECROZMA_2,MENACINGMOONRAZEMAELSTROM
ULTRANECROZIUMZ,,PHOTONGEYSER,NECROZMA_1,LIGHTTHATBURNSTHESKY
ULTRANECROZIUMZ,,PHOTONGEYSER,NECROZMA_2,LIGHTTHATBURNSTHESKY
ULTRANECROZIUMZ,,PHOTONGEYSER,NECROZMA_3,LIGHTTHATBURNSTHESKY
ULTRANECROZIUMZ,,PHOTONGEYSER,NECROZMA_4,LIGHTTHATBURNSTHESKY
FOSSILIUMZ,,ANCIENTPOWER,KABUTO,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,KABUTOPS,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,PALEODRAIN,KABUTO,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,PALEODRAIN,KABUTOPS,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,OMANYTE,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,OMASTAR,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,AERODACTYL,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,AERODACTYL_2,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,LILEEP,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,CRADILY,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,ANORITH,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,ARMALDO,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,RELICANTH,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,CRANIDOS,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,RAMPARDOS,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,RAMPARDOS_1,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,SHIELDON,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,BASTIODON,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,TIRTOUGA,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,CARRACOSTA,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,ARCHEN,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,ARCHEOPS,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,ARCHEN_1,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,ARCHEOPS_1,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,TYRUNT,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,TYRANTRUM,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,AMAURA,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,AURORUS,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,DRACOZOLT,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,DRACOVISH,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,ARCTOZOLT,PREHISTORICPOWERREJURGENCE
FOSSILIUMZ,,ANCIENTPOWER,ARCTOVISH,PREHISTORICPOWERREJURGENCE
SPINDIUMZ,,TEETERDANCE,SPINDA,CONFUSIONSOLODANCE
HOOHIUMZ,,SACREDFIRE,HOOH,PHOENIXFIRE
#-------------------------------
# Generic Z-Compatibility
#-------------------------------
NORMALIUMZ,NORMAL,,,BREAKNECKBLITZ
FIRIUMZ,FIRE,,,INFERNOOVERDRIVE
WATERIUMZ,WATER,,,HYDROVORTEX
ELECTRIUMZ,ELECTRIC,,,GIGAVOLTHAVOC
GRASSIUMZ,GRASS,,,BLOOMDOOM
ICIUMZ,ICE,,,SUBZEROSLAMMER
FIGHTINIUMZ,FIGHTING,,,ALLOUTPUMMELING
POISONIUMZ,POISON,,,ACIDDOWNPOUR
GROUNDIUMZ,GROUND,,,TECTONICRAGE
FLYINIUMZ,FLYING,,,SUPERSONICSKYSTRIKE
PSYCHIUMZ,PSYCHIC,,,SHATTEREDPSYCHE
BUGINIUMZ,BUG,,,SAVAGESPINOUT
ROCKIUMZ,ROCK,,,CONTINENTALCRUSH
GHOSTIUMZ,GHOST,,,NEVERENDINGNIGHTMARE
DRAGONIUMZ,DRAGON,,,DEVASTATINGDRAKE
DARKINIUMZ,DARK,,,BLACKHOLEECLIPSE
STEELIUMZ,STEEL,,,CORKSCREWCRASH
FAIRIUMZ,FAIRY,,,TWINKLETACKLE
